' ই.এম.	' I.ema.
একটি লা মোড	ekai la moda
একটিবারের	ekaibarera
একতরফা	ekatarapha
একতলা	ekatala
একতান করান	ekatana karana
একদা	ekada
একদিকে ফেরা	ekadike phera
একদৃষ্টি	ekadrsi
একদৃষ্টিতে তাকান	ekadrsite takana
একধরণের ধাঁধার	ekadharanera dhamdhara
একনায়ক	ekanayaka
একনায়ক	ekanayaka
একনায়কতন্ত্র	ekanayakatantra
একপাশে	ekapashe
একপ্রকার খুদ্রে বাঁধাকপি	ekaprakara khudre bamdhakapi
একপ্রকার গায়ক পক্ষী	ekaprakara gayaka paksi
একফোঁটা	ekaphoma
একবার	ekabara
একবার - ওভার	ekabara - obhara
একবোরে	ekabore
একভাবে	ekabhabe
একমত	ekamata
একমত	ekamata
একমনা	ekamana
একমাত্র	ekamatra
একমাত্র সন্তান	ekamatra santana
একমুখ ঢাকা কাচের নল	ekamukha dhaka kacera nala
একমুখো	ekamukho
একযোগে	ekayoge
একরকম	ekarakama
একরোখা	ekarokha
একসঙ্গে	ekasange
একহাঁটু	ekahamu
একা	eka
একাকী	ekaki
একাদশ	ekadasha
একান্তর	ekantara
একুশ	ekusha
একে সম্মানে	eke sam'mane
একেবারে	ekebare
একেবারে পুরোভাগ	ekebare purobhaga
একেলা	ekela
এক্তিয়ার	ektiyara
এক্তিয়ারভুক্ত	ektiyarabhukta
এক্রাইলিক	ekra'ilika
এক্স - রে	eksa - re
এক্স রেট	eksa rea
এক্সট্রা লার্জ	eksara larja
এক্সস্ট	eksasa
এক্সিলেটর	eksileara
এখন	ekhana
এখন ঘুমাচ্ছে	ekhana ghumacche
এখনো	ekhano
এখনো	ekhano
এখানে	ekhane
এখানে	ekhane
এখানে ইস্ট	ekhane isa
এখানে কোথাত্ত	ekhane kothatta
এগার	egara
এগিয়ে	egiye
এগিয়ে যান	egiye yana
এছাড়াও	echara'o
এজমা	ejama
এজেন্সি	ejensi
এজেন্সি	ejensi
এট আল.	ea ala.
এটা	ea
এটা	ea
এটা করব	ea karaba
এটা চাই	ea ca'i
এটিএম	ei'ema
এড়াইয়া চলা	era'iya cala
এড়াতে	erate
এড়ানর কৌশল	eranara kaushala
এডাপটার	edapaara
এতদ্দ্বারা	etaddbara
এন বি এ	ena bi e
এনই	ena'i
এনজিনের পার	enajinera para
এনজির্নহীন বিমান	enajirnahina bimana
এনটাইটেলমেন্টের	enaa'ielamenera
এনসি - 17	enasi - 17
এন্টার্কটিকা	enarkaika
এন্টিকের	enikera
এন্টেনা	enena
এন্ট্রি - স্তরের	enri - starera
এপয়েন্টমেন্ট	epayenamena
এপারিটিফ	epariipha
এপিসকোপাল চার্চ	episakopala carca
এপেটাইজার	epea'ijara
এপ্রিল	eprila
এপ্রিল ফুল ' দিবস	eprila phula' dibasa
এফএম	epha'ema
এফবিআই	ephabi'a'i
এবং	ebang
এবিসি এর	ebisi era
এভি	ebhi
এমতাবস্থায়	ematabasthaya
এমন	emana
এমন কি	emana ki
এমনটা কখনো	emanaa kakhano
এমনি	emani
এমফিসেমা	emaphisema
এমবসড	emabasada
এমি	emi
এমেরিটাস	emeriasa
এয়ার কন্ডিশনার	eyara kandishanara
এয়ার ট্রাফিক কন্ট্রোলার	eyara raphika kanrolara
এয়ারলাইন	eyarala'ina
এযাবৎ	eyabat
এর	era
এর	era
এর কারণ	era karana
এর মাধ্যমে	era madhyame
এরিয়া কোড	eriya koda
এরোবিকস	erobikasa
এরোবিক্স	erobiksa
এরোসল	erosala
এলকোহল	elakohala
এলাকা	elaka
এলাকা	elaka
এলার্জি	elarji
এলার্ম ঘড়ি	elarma ghari
এলোমেলো	elomelo
এলোমেলো	elomelo
এলোমেলো	elomelo
এলোমেলো	elomelo
এলোমেলো আলোচনা	elomelo alocana
এলোমেলো কথা বলা	elomelo katha bala
এলোমেলো করা	elomelo kara
এলোমেলোভাবে	elomelobhabe
এশিয়া	eshiya
এশিয়ান	eshiyana
এশিয়ান - আমেরিকান	eshiyana - amerikana
এসআইসি	esa'a'isi
এসওএস	esa'o'esa
এসপিরিন	esapirina
এসপ্রেসো	esapreso
এসি	esi
এসেম্বলির	esembalira
এস্কিমো	eskimo
এস্কিমোসদের গুম্বজাকার কুটির	eskimosadera gumbajakara kuira
ঐ	Ai
ঐ স্থানের কাছাকাছি	Ai sthanera kachakachi
ঐ স্থানের কাছাকাছি	Ai sthanera kachakachi
ঐকতানবাদের জন্য স্থায়ী মঁচ	Aikatanabadera jan'ya sthayi mamca
ঐচ্ছিক	Aicchika
ঐতিহাসিক	Aitihasika
ঐতিহাসিক	Aitihasika
ঐতিহাসিকভাবে	Aitihasikabhabe
ঐতিহ্য	Aitihya
ঐতিহ্য	Aitihya
ঐতিহ্যগত	Aitihyagata
ঐতিহ্যগতভাবে	Aitihyagatabhabe
ঐতিহ্যবাদী	Aitihyabadi
ঐশ্বরিক	Aishbarika
ঐশ্বর্য	Aishbarya
ঐশ্বর্য	Aishbarya
ঐশ্বর্যময়	Aishbaryamaya
ঐশ্বর্যশালী	Aishbaryashali
ওগরানো	ogarano
ওজোন	ojona
ওজোন স্তর	ojona stara
ওটমিল	oamila
ওটা কাজ	oa kaja
ওঠা	oha
ওঠে	ohe
ওপেনার	openara
ওভার দ্য কাউন্টার	obhara dya ka'unara
ওভারভিউ	obharabhi'u
ওভাররেটেড	obharareeda
ওভারহেড প্রজেক্টর	obharaheda prajekara
ওভারিয়ান	obhariyana
ওম	oma
ওয়াইএমসিএ	oya'i'emasi'e
ওয়াইডব্লিউসিএ	oya'idabli'usi'e
ওরিয়েন্টেড	oriyeneda
ওল্ড টেস্টামেন্ট	olda esamena
ওল্ড ফোটোস	olda phoosa
ওহ ভাল	oha bhala
ওহো	oho
ঔত্সুক্য	Autsukya
ঔদাসীন্য	Audasin'ya
ঔদাসীন্য	Audasin'ya
ঔদ্ধত্য	Aud'dhatya
ঔপনিবেশিকদের	Aupanibeshikadera
ঔপন্যাসিক	Aupan'yasika
ঔষধালয়	Ausadhalaya
ঔষধালয়	Ausadhalaya
ঔষধি	Ausadhi
ঔষধের দোকান	Ausadhera dokana
কংস	Kansa
কইয়ে	Ka'iye
ককান	Kakana
কক্কক্	Kakkak
কক্ষ	Kaksa
কখনও কখনও	Kakhana'o kakhana'o
কঙ্কর	Kankara
কঙ্কাল	Kankala
কচ্কচি	Kackaci
কচ্ছপ	Kacchapa
কটা	Kaa
কটা	Kaa
কটাক্ষ করা	Kaaksa kara
কটাক্ষ করা	Kaaksa kara
কটাক্ষপূর্ণ	Kaaksapurna
কটুকাটব্য	Kaukaabya
কটুগন্ধ	Kaugandha
কটুতা	Kauta
কঠিন	Kahina
কঠিন	Kahina
কঠিন	Kahina
কঠিন	Kahina
কঠিন	Kahina
কঠিনতা	Kahinata
কঠোর	Kahora
কঠোর	Kahora
কঠোর	Kahora
কঠোর	Kahora
কঠোর	Kahora
কঠোর পরীক্ষা	Kahora pariksa
কঠোর যন্ত্রণা	Kahora yantrana
কঠোরতা	Kahorata
কঠোরভাবে	Kahorabhabe
কঠোরভাবে	Kahorabhabe
কঠোরভাবে	Kahorabhabe
কঠোরভাবে দমন	Kahorabhabe damana
কঠোরভাবে সমালোচনা করা	Kahorabhabe samalocana kara
কড়া	Kara
কড়া	Kara
কড়া	Kara
কড়ার	Karara
কড়িকাঠ	Karikaha
কড়্মড়	Karmara
কণা	Kana
কণিকা	Kanika
কণিকা	Kanika
কণিকাকার	Kanikakara
কণ্টক	Kanaka
কণ্টকাকীর্ণ	Kanakakirna
কণ্টকিত	Kanakita
কণ্ঠ	Kanha
কণ্ঠনালীর রোগবিশেষ	Kanhanalira rogabishesa
কণ্ঠরোধ করা	Kanharodha kara
কণ্ঠা	Kanha
কণ্ঠ্য	Kanhya
কণ্ঠ্যবর্ণ	Kanhyabarna
কণ্ডরা	Kandara
কতল করা	Katala kara
কতল করা	Katala kara
কতিপয়	Katipaya
কথক	Kathaka
কথন	Kathana
কথন	Kathana
কথা বলা	Katha bala
কথিত	Kathita
কদম	Kadama
কদর্য	Kadarya
কদর্যভাবে	Kadaryabhabe
কদাচিৎ	Kadacit
কদাপি	Kadapi
কনস্টবল	Kanasabala
কনিষ্ঠ পুত্র	Kanisha putra
কনুই	Kanu'i
কনুইদ্বারা মৃদু গুন্তা	Kanu'idbara mrdu gunta
কন্দ	Kanda
কন্দজ	Kandaja
কন্দজাতীয় ছত্রাক	Kandajatiya chatraka
কন্যা	Kan'ya
কন্যা ইন আইন	Kan'ya ina a'ina
কন্যারাশি	Kan'yarashi
কপট	Kapaa
কপট	Kapaa
কপটতা	Kapaata
কপটভাবে	Kapaabhabe
কপর্দকশূন্য	Kapardakashun'ya
কপাটক	Kapaaka
কপাল	Kapala
কপিকল	Kapikala
কফ	Kapha
কফ	Kapha
কবচ	Kabaca
কবজ	Kabaja
কবজা	Kabaja
কবর হতে তোলা	Kabara hate tola
কবরী	Kabari
কবরের শীর্ষদেশে স্থাপিত	Kabarera shirsadeshe sthapita
কবরোপরি স্মৃতিস্তম্ভ	Kabaropari smrtistambha
কবল	Kabala
কবি	Kabi
কবিতা	Kabita
কবিতা	Kabita
কবিসুলভ	Kabisulabha
কমনীয়	Kamaniya
কমনীয়তা	Kamaniyata
কমনীয়তা	Kamaniyata
কমবখত	Kamabakhata
কমলা	Kamala
কমা	Kama
কমা	Kama
কমান	Kamana
কমান	Kamana
কম্পউণ্ডার	Kampa'undara
কম্পন	Kampana
কম্পন	Kampana
কম্পন	Kampana
কম্পন	Kampana
কম্পন	Kampana
কম্পমান	Kampamana
কম্পমান ধ্বনি	Kampamana dhbani
কম্বল	Kambala
কম্বল	Kambala
কয়েক	Kayeka
কয়েদ	Kayeda
কয়েদ করা	Kayeda kara
কর	Kara
কর আরোপিত	Kara aropita
কর ছাড়ের ব্যবস্থা	Kara charera byabastha
করণী-নিরসন	Karani-nirasana
করত	Karata
করতল	Karatala
করদাতা	Karadata
করযোগ্য	Karayogya
করা	Kara
করা - ডাউন	Kara - da'una
করাত	Karata
করারোপণ	Kararopana
করাল	Karala
করিডোর	Karidora
কর্কটরাশি	Karkaarashi
কর্কশ	Karkasha
কর্কশ	Karkasha
কর্কশ	Karkasha
কর্কশ	Karkasha
কর্কশ তীক্ষ্ন ধ্বনি করা	Karkasha tiksna dhbani kara
কর্কশ স্বরে	Karkasha sbare
কর্কশকণ্ঠ	Karkashakanha
কর্কশতা	Karkashata
কর্কশভাবে	Karkashabhabe
কর্ণ	Karna
কর্ণ-সম্বনধীয়	Karna-sambanadhiya
কর্ণশূল	Karnashula
কর্তন	Kartana
কর্তব্য	Kartabya
কর্তব্যনিষ্ঠ	Kartabyanisha
কর্তব্যে অবহেলা	Kartabye abahela
কর্তিত	Kartita
কর্তিত	Kartita
কর্তৃত্ব	Kartrtba
কর্তৃত্ব	Kartrtba
কর্তৃত্বপ্রি়	Kartrtbapri
কর্দম	Kardama
কর্দমাক্ত	Kardamakta
কর্দমাক্ত	Kardamakta
কর্ম	Karma
কর্ম-ত্যাগী ব্যক্তি	Karma-tyagi byakti
কর্মকর্তা	Karmakarta
কর্মকর্তার	Karmakartara
কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস	Karmaksetradite anupasithata thakara abhyasa
কর্মখালি	Karmakhali
কর্মচারী	Karmacari
কর্মতত্পর	Karmatatpara
কর্মফল	Karmaphala
কর্মবিধি	Karmabidhi
কর্মসংস্থান সংস্থা	Karmasansthana sanstha
কর্মস্থল হইতে পলায়ন	Karmasthala ha'ite palayana
কর্মহীনতার	Karmahinatara
কর্মিবৃন্দ	Karmibrnda
কর্মী	Karmi
কর্মে নিযুক্তি ব্যক্তি	Karme niyukti byakti
কর্ষিকা	Karsika
কল	Kala
কল	Kala
কল ইন শো	Kala ina sho
কল মেয়ে	Kala meye
কলঙ্ক	Kalanka
কলঙ্ক	Kalanka
কলঙ্ক	Kalanka
কলঙ্ক	Kalanka
কলঙ্কচিহ্ন	Kalankacihna
কলঙ্কপূর্ণ করা	Kalankapurna kara
কলঙ্কিত	Kalankita
কলঙ্কিত করা	Kalankita kara
কলঙ্কিত করা	Kalankita kara
কলঙ্কিত করা	Kalankita kara
কলধ্বনি	Kaladhbani
কলম	Kalama
কলম	Kalama
কলম	Kalama
কলা	Kala
কলা	Kala
কলাই	Kala'i
কলাই	Kala'i
কলাভবন	Kalabhabana
কলুষ	Kalusa
কলেজ মেয়েদের সমিতি	Kaleja meyedera samiti
কলের জল	Kalera jala
কল্পনা	Kalpana
কল্পনা	Kalpana
কল্পনা করা	Kalpana kara
কল্পনা করা	Kalpana kara
কল্পনানুসারে	Kalpananusare
কল্পনাপ্রবণ	Kalpanaprabana
কল্পবিজ্ঞান	Kalpabijnana
কল্পিত	Kalpita
কল্পিত	Kalpita
কল্পিত	Kalpita
কল্পিত	Kalpita
কল্যাণকামী	Kalyanakami
কশেরুকা	Kasheruka
কষ	Kasa
কষা	Kasa
কষা	Kasa
কষাটে	Kasae
কষ্ট	Kasa
কষ্ট	Kasa
কষ্ট দেত্তয়া	Kasa dettaya
কষ্টকল্পিত	Kasakalpita
কষ্টসহকারে	Kasasahakare
কষ্টসহিষ্ণু	Kasasahisnu
কষ্টহাসি	Kasahasi
কষ্টিপাথর	Kasipathara
কসরত	Kasarata
কসাই	Kasa'i
কসাইখানা	Kasa'ikhana
কসাইখানা	Kasa'ikhana
কহতব্য	Kahatabya
কহন	Kahana
কহা	Kaha
কহা	Kaha
কহা	Kaha
কা	Ka
কাঁকুরে	Kamkure
কাঁচ	Kamca
কাঁচল	Kamcala
কাঁচা	Kamca
কাঁচা	Kamca
কাঁচা লোক	Kamca loka
কাঁচি	Kamci
কাঁচি	Kamci
কাঁচুমাচু	Kamcumacu
কাঁচুমাচু	Kamcumacu
কাঁচুলি	Kamculi
কাঁটা	Kama
কাঁটাগাছ	Kamagacha
কাঁটাচামচ	Kamacamaca
কাঁটাচামচ	Kamacamaca
কাঁটাতার	Kamatara
কাঁটাত্তয়ালা	Kamattayala
কাঁঠাল গাছ	Kamhala gacha
কাঁধে ব্যাগ	Kamdhe byaga
কাঁপতে কাঁপতে	Kampate kampate
কাঁপা	Kampa
কাইট	Ka'ia
কাউকে ফিরিয়ে আনার	Ka'uke phiriye anara
কাক্ষিক	Kaksika
কাগজ	Kagaja
কাগজ ক্লিপ	Kagaja klipa
কাগজপত্র	Kagajapatra
কাচ	Kaca
কাচপাত্র	Kacapatra
কাচিক	Kacika
কাছাকাছি	Kachakachi
কাছাকাছি	Kachakachi
কাছাকাছি-ঘড়ি	Kachakachi-ghari
কাছিম	Kachima
কাছে	Kache
কাজ	Kaja
কাজ করার ক্ষমতা	Kaja karara ksamata
কাজে লাগান	Kaje lagana
কাটরা	Kaara
কাটা	Kaa
কাটা	Kaa
কাটা	Kaa
কাটিয়া ফেলা	Kaiya phela
কাঠ	Kaha
কাঠবিড়াল	Kahabirala
কাঠামো	Kahamo
কাঠিন্য	Kahin'ya
কাঠিন্য	Kahin'ya
কাঠিন্য	Kahin'ya
কাঠের ছিলকা	Kahera chilaka
কাঠের পায়া	Kahera paya
কাঠের বান্শিবিশেষ	Kahera banshibishesa
কাঠের মিহি গুঁড়ো	Kahera mihi gumro
কাণাগলি	Kanagali
কাণ্ডজ্ঞান	Kandajnana
কাতর	Katara
কাতা	Kata
কাতিয়ে যাওয়া	Katiye ya'oya
কাদা	Kada
কান	Kana
কানাগলি	Kanagali
কানাডিয়ান	Kanadiyana
কানায় কানায়	Kanaya kanaya
কানের পরদা	Kanera parada
কানের লতি	Kanera lati
কাপ	Kapa
কাপ .	Kapa.
কাপট্য	Kapaya
কাপড়	Kapara
কাপড়চোপড়	Kaparacopara
কাপাচিনো	Kapacino
কাপুরূষ	Kapurusa
কাবাব	Kababa
কাব্যিক ন্যায়বিচার	Kabyika n'yayabicara
কাব্যিক লাইসেন্স	Kabyika la'isensa
কামড়	Kamara
কামবাইগ্রস্ত স্ত্রীলোক	Kamaba'igrasta striloka
কামরা	Kamara
কামান	Kamana
কামান	Kamana
কামান	Kamana
কামান দাগা	Kamana daga
কামান-বাহী পোত	Kamana-bahi pota
কামানের পাল্লা	Kamanera palla
কামার	Kamara
কামার	Kamara
কামারশালা	Kamarashala
কামার্ত	Kamarta
কামুক	Kamuka
কামুক	Kamuka
কামুক	Kamuka
কামুকতা	Kamukata
কামোদ্দীপক	Kamoddipaka
কাম্পনি	Kampani
কাম্পান	Kampana
কায়	Kaya
কায়মনোবাক্যে	Kayamanobakye
কায়াক	Kayaka
কারকিত	Karakita
কারকিত	Karakita
কারখানা	Karakhana
কারচুপি	Karacupi
কারচুপি	Karacupi
কারণ	Karana
কারণ	Karana
কারণপূর্ণভাবে	Karanapurnabhabe
কারণে	Karane
কারণে প্রক্রিয়া	Karane prakriya
কারবন	Karabana
কারবন্ কাগজ	Karaban kagaja
কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি	Karaban kagaja dbara grhita pratilipi
কারবারী	Karabari
কারবারী চিপ	Karabari cipa
কারবালা	Karabala
কারাগার	Karagara
কারাগার	Karagara
কারাতে	Karate
কারাদণ্ড	Karadanda
কারাপাল	Karapala
কারারোধ	Kararodha
কার্ড	Karda
কার্ড	Karda
কার্ড ক্যাটালগ	Karda kyaalaga
কার্ডিয়াক	Kardiyaka
কার্ডিয়াক অ্যারেস্ট	Kardiyaka ayaresa
কার্তুজ	Kartuja
কার্নিভালের	Karnibhalera
কার্নেল	Karnela
কার্পণ্য করা	Karpanya kara
কার্পেটে আবরণ	Karpee abarana
কার্বন ডাই অক্সাইড	Karbana da'i aksa'ida
কার্বনেটেড	Karbaneeda
কার্বোহাইড্রেট	Karboha'idrea
কার্মিক	Karmika
কার্যকর	Karyakara
কার্যকরীভাবে	Karyakaribhabe
কার্যকরীভাবে	Karyakaribhabe
কার্যকলাপ	Karyakalapa
কার্যকারিতা	Karyakarita
কার্যক্রম	Karyakrama
কার্যক্রমে	Karyakrame
কার্যক্ষম	Karyaksama
কার্যক্ষম .	Karyaksama.
কার্যক্ষেত্র	Karyaksetra
কার্যনির্বাহী	Karyanirbahi
কার্যপদ্ধতি	Karyapad'dhati
কার্যবিপত্তি	Karyabipatti
কার্যে ব্যবহৃত কাগজের মণ্ড -সুটকেস	Karye byabahrta kagajera manda -suakesa
কাল	Kala
কাল	Kala
কাল আঁচিল	Kala amcila
কাল ভবিষ্যত	Kala bhabisyata
কালচে	Kalace
কালজামজাতীয় ফল	Kalajamajatiya phala
কালবৈষম্য	Kalabaisamya
কালবোস	Kalabosa
কালশিটে	Kalashie
কালশিটে দাগ	Kalashie daga
কালি	Kali
কালিগর্নিয়ার বৃক্ষবিশেষ	Kaligarniyara brksabishesa
কালিঝুলি	Kalijhuli
কালের	Kalera
কালো	Kalo
কালো	Kalo
কালো বেল্ট	Kalo bela
কাল্পনিক	Kalpanika
কাষ্র্যকর	Kasryakara
কাসুন্দি	Kasundi
কাসেৎ	Kaset
কাস্তে	Kaste
কাহিনী	Kahini
কাহিনী	Kahini
কাহিনী	Kahini
কি	Ki
কিংকর্তব্যবিমূঢ়	Kinkartabyabimurha
কিংকর্তব্যবিমূঢ় করা	Kinkartabyabimurha kara
কিউই	Ki'u'i
কিচ্কিচ্	Kickic
কিছু	Kichu
কিছু	Kichu
কিছু	Kichu
কিছু আগে করা	Kichu age kara
কিছুই	Kichu'i
কিছুক্ষণ	Kichuksana
কিছুক্ষণ ধরে বিচলিত	Kichuksana dhare bicalita
কিছুটা	Kichua
কিনারা	Kinara
কিনারার দিকে	Kinarara dike
কিন্তু	Kintu
কিমি :	Kimi:
কিয়স্ক	Kiyaska
কিরণ	Kirana
কিল	Kila
কিলোওয়াট	Kilo'oyaa
কিলোগ্রাম	Kilograma
কিলোত্তয়াট	Kilottayaa
কিলোবাইট	Kiloba'ia
কিলোমিটার	Kilomiara
কিশমিশ	Kishamisha
কিশোর	Kishora
কিশোর	Kishora
কিশোর	Kishora
কিশোর	Kishora
কিশোরী	Kishori
কিস্তি	Kisti
কীট	Kia
কীট কালশিটে	Kia kalashie
কীটনাশক	Kianashaka
কীটমূষিকাদি	Kiamusikadi
কীটহত্যা	Kiahatya
কীড়া	Kira
কীবোর্ড	Kiborda
কীর্তন	Kirtana
কীর্তন করা	Kirtana kara
কুঁচকি	Kumcaki
কুঁচি দেওয়া ঢিলে পোশাক	Kumci de'oya dhile poshaka
কুঁড়ি	Kumri
কুঁড়ে	Kumre
কুঁড়েঘর	Kumreghara
কুঁডে লোক	Kumde loka
কুঁতদ্বার	Kumtadbara
কুঁদা	Kumda
কুংফু	Kumphu
কুকুর	Kukura
কুকুর	Kukura
কুকুর - ঝোলা	Kukura - jhola
কুকুরছানা	Kukurachana
কুকুরছানা	Kukurachana
কুকুরবিশেষ	Kukurabishesa
কুকুরবিশেষ	Kukurabishesa
কুকুরবিসেষ	Kukurabisesa
কুকুরের	Kukurera
কুকুরের ঘর	Kukurera ghara
কুকুরের ব্যাগ	Kukurera byaga
কুখ্যাত	Kukhyata
কুখ্যাত	Kukhyata
কুখ্যাতি	Kukhyati
কুখ্যাতিপূর্ণভাবে	Kukhyatipurnabhabe
কুচান	Kucana
কুচুটে	Kucue
কুচুটে	Kucue
কুটনি	Kuani
কুটুম্ব	Kuumba
কুঠার	Kuhara
কুঠী	Kuhi
কুড়ান	Kurana
কুড়ে	Kure
কুণ্ঠা	Kunha
কুণ্ডলী	Kundali
কুতযোগ্য নগরদ্বার	Kutayogya nagaradbara
কুতর্ক	Kutarka
কুত্সা	Kutsa
কুত্সা	Kutsa
কুদরতী	Kudarati
কুমড়া	Kumara
কুমার	Kumara
কুমারী	Kumari
কুমারী	Kumari
কুমারীত্ব	Kumaritba
কুম্ভরাশি	Kumbharashi
কুম্ভীলকগিরি	Kumbhilakagiri
কুয়াশা	Kuyasha
কুয়াশা	Kuyasha
কুয়াশাচ্ছন্ন	Kuyashacchanna
কুয়াশাচ্ছন্ন	Kuyashacchanna
কুল	Kula
কুলকুচা	Kulakuca
কুলপতি	Kulapati
কুলাচার্য	Kulacarya
কুলাল	Kulala
কুলি	Kuli
কুলুঙ্গি	Kulungi
কুলুজি সংক্রান্ত	Kuluji sankranta
কুলুপ	Kulupa
কুশলতা	Kushalata
কুশলতাসহকারে	Kushalatasahakare
কুশলী	Kushali
কুসংস্কার	Kusanskara
কুসংস্কার	Kusanskara
কুসংস্কার	Kusanskara
কুসংস্কারাচ্ছন্ন	Kusanskaracchanna
কুসুম কুসুম গরম	Kusuma kusuma garama
কুসুমস্তবক	Kusumastabaka
কুসুমিত	Kusumita
কুস্তি	Kusti
কুস্তি করা	Kusti kara
কুস্বভাব	Kusbabhaba
কুহকিনী	Kuhakini
কুহকী	Kuhaki
কূট	Kua
কূট	Kua
কূটকৌশল	Kuakaushala
কূটনীতি	Kuaniti
কূটনীতিক	Kuanitika
কূটনীতিক দূত	Kuanitika duta
কূটনীতিজ্ঞ ব্যক্তি	Kuanitijna byakti
কূটনৈতিক	Kuanaitika
কূটবুদ্ধিসম্পন্ন	Kuabud'dhisampanna
কূটাভাস	Kuabhasa
কূর্চ	Kurca
কৃতজ্ঞ	Krtajna
কৃতজ্ঞ	Krtajna
কৃতজ্ঞ	Krtajna
কৃতজ্ঞচিত্তে	Krtajnacitte
কৃতজ্ঞতা	Krtajnata
কৃতি	Krti
কৃতিত্ব	Krtitba
কৃতিত্ব	Krtitba
কৃত্য	Krtya
কৃত্রিম	Krtrima
কৃত্রিম	Krtrima
কৃত্রিম	Krtrima
কৃত্রিম	Krtrima
কৃত্রিম আক্রমণ	Krtrima akramana
কৃত্রিম প্রজনন	Krtrima prajanana
কৃত্রিম বুদ্ধিমত্তা	Krtrima bud'dhimatta
কৃত্রিম রেশমবিশেষ	Krtrima reshamabishesa
কৃত্রিম শ্বসন	Krtrima shbasana
কৃত্রিম স্বর	Krtrima sbara
কৃন্তক	Krntaka
কৃপণ	Krpana
কৃপণ	Krpana
কৃপণ	Krpana
কৃপণতা করা	Krpanata kara
কৃপাময়	Krpamaya
কৃশ	Krsha
কৃশ	Krsha
কৃশ	Krsha
কৃশ	Krsha
কৃশকায়	Krshakaya
কৃশতা	Krshata
কৃষক	Krsaka
কৃষকদের ' বাজারে	Krsakadera' bajare
কৃষি	Krsi
কৃষি	Krsi
কৃষিজাত	Krsijata
কৃষ্ণকায়	Krsnakaya
কৃষ্ণসীস নামক ধাতু	Krsnasisa namaka dhatu
কেঁচো	Kemco
কেঁদ্রগত	Kemdragata
কেউ	Ke'u
কেউ	Ke'u
কেউ কিছু	Ke'u kichu
কেচাপ	Kecapa
কেজি	Keji
কেজি :	Keji:
কেতন	Ketana
কেতলি	Ketali
কেতাদুরস্ত	Ketadurasta
কেতাদুরস্ত সমাজের	Ketadurasta samajera
কেতাদোরস্ত প্রসাধনের ত্ত অঙ্গসজ্জার দোকান	Ketadorasta prasadhanera tta angasajjara dokana
কেতাবি	Ketabi
কেদার	Kedara
কেনা	Kena
কেনা	Kena
কেনাকাটা	Kenakaa
কেন্দ্র হইতে অপসৃত করা	Kendra ha'ite apasrta kara
কেন্দ্রস্থান	Kendrasthana
কেন্দ্রীভূত করা	Kendribhuta kara
কেবল	Kebala
কেবলমাত্র	Kebalamatra
কেবলমাত্র	Kebalamatra
কেবলরাম	Kebalarama
কেবিন	Kebina
কেব্লকার	Keblakara
কেয়ামতের	Keyamatera
কেয়ারী	Keyari
কেরোসির্নতৈল	Kerosirnataila
কেলেঙ্কারীতে	Kelenkarite
কেল্লা	Kella
কেল্লা	Kella
কেশকর্তন	Keshakartana
কেশবিন্যাস-প্রণালী	Keshabin'yasa-pranali
কেহ	Keha
কেহ	Keha
কৈফিয়তমূলক	Kaiphiyatamulaka
কৈফিয়ৎ	Kaiphiyat
কৈশিক	Kaishika
কৈশোর	Kaishora
কোঁকড়ান	Komkarana
কোঁকড়ান	Komkarana
কোঁকড়ান	Komkarana
কোঁচ	Komca
কোঁচকান	Komcakana
কোঁচান	Komcana
কোকিলজাতীয় পক্ষী	Kokilajatiya paksi
কোট	Koa
কোটি টাকার শেয়ার ছাড়ছে	Koi akara sheyara charache
কোণ	Kona
কোণঠাসা করা	Konahasa kara
কোথাও	Kotha'o
কোথাও	Kotha'o
কোথাও	Kotha'o
কোথাও না	Kotha'o na
কোদাল	Kodala
কোন	Kona
কোন - কোন	Kona - kona
কোন .	Kona.
কোন এক	Kona eka
কোন ফল্ট	Kona phala
কোনও নজরদার কমিটির সদস্য	Kona'o najaradara kamiira sadasya
কোনদিন	Konadina
কোপ	Kopa
কোপা ইয়া কাটা	Kopa iya kaa
কোমল	Komala
কোমল হত্তয়া	Komala hattaya
কোমলভাবে	Komalabhabe
কোয়ান্টিফায়ার	Koyaniphayara
কোয়ার্ক	Koyarka
কোয়ার্টার ফাইনালটি	Koyarara pha'inalai
কোয়ালা	Koyala
কোয়ালিফায়ার	Koyaliphayara
কোরান	Korana
কোরাম	Korama
কোরিয়ান	Koriyana
কোলাহল	Kolahala
কোষবদ্ধ করা	Kosabad'dha kara
কোষাগার	Kosagara
কোষাগার	Kosagara
কোষাধ্যক্ষ	Kosadhyaksa
কোষাধ্যক্ষ	Kosadhyaksa
কৌণিক	Kaunika
কৌতুক	Kautuka
কৌতুক	Kautuka
কৌতুক	Kautuka
কৌতুক	Kautuka
কৌতুক বা আচরণ	Kautuka ba acarana
কৌতূহলী ব্যক্তি	Kautuhali byakti
কৌশল	Kaushala
কৌশল	Kaushala
কৌশলগতভাবে	Kaushalagatabhabe
কৌশলী	Kaushali
কৌশলের সূক্ষ্মতা	Kaushalera suksmata
ক্যাঙ্গারু	Kyangaru
ক্যানটোনীজ	Kyanaonija
ক্যানভাস	Kyanabhasa
