বহন অন	Bahana ana
হানা	Hānā
অধোগমন	Adhōgamana
বিরক্তিকর	Biraktikara
বাড়া	Bāṛā
বয়সের	Baẏasēra
প্রতিনিধি	Pratinidhi
বিষয়সূচি	Biṣaẏasūci
এজেন্সি	Ējēnsi
বুড়া	Buṛā
বয়স	Baẏasa
বিরুদ্ধে	Birud'dhē
আবার	Ābāra
পরে	Parē
পরে	Parē
অনুচিন্তা	Anucintā
আফটারশক	Āphaṭāraśaka
আফটারশেভ লোশন	Āphaṭāraśēbha lōśana
বৈকাল	Baikāla
ভবিষ্যৎ ফল	Bhabiṣyaṯ phala
ভবিষ্যৎ জীবন	Bhabiṣyaṯ jībana
পরিণাম	Pariṇāma
পরে	Parē
আফ্রিকান - আমেরিকান	Āphrikāna - āmērikāna
আফ্রিকান	Āphrikāna
আফ্রিকা	Āphrikā
পুনর্বার	Punarbāra
ভীত	Bhīta
সমুদ্রে	Samudrē
অপমান করা	Apamāna karā
সাশ্রয়ী মূল্যের	Sāśraẏī mūlyēra
সামর্থ্য	Sāmarthya
সমৃদ্ধিশালী	Samr̥d'dhiśālī
সমৃদ্ধি	Samr̥d'dhi
পরিতাপ	Paritāpa
হীন করা	Hīna karā
জুড়া	Juṛā
affirmatively	Affirmatively
সম্মতিসূচক এক্সন	Sam'matisūcaka ēksana
হাঁ-সূচক	Hām̐-sūcaka
কথন	Kathana
যাথাথ্র্য করা	Yāthāthrya karā
সম্বন্ধ	Sambandha
অন্তর্ভুক্তি	Antarbhukti
সম্বদ্ধ	Sambad'dha
শাখা	Śākhā
হলফনামা	Halaphanāmā
affectionately	Affectionately
অনুরক্ত	Anurakta
মমতা	Mamatā
আক্রান্ত	Ākrānta
ভান	Bhāna
অনুভূতি	Anubhūti
বিষয়	Biṣaẏa
ব্যাপার	Byāpāra
অমায়িকভাবে	Amāẏikabhābē
ভদ্র	Bhadra
দূরবর্তী স্থান	Dūrabartī sthāna
নন্দনতত্ব	Nandanatatba
aesthetically	Aesthetically
নান্দনিক	Nāndanika
মহাকাশ	Mahākāśa
এরোসল	Ērōsala
বায়ুগতিবিদ্যা	Bāẏugatibidyā
aerodynamic	Aerodynamic
এরোবিকস	Ērōbikasa
বায়ুজীবী	Bāẏujībī
বায়বীয়	Bāẏabīẏa
উকিল	Ukila
প্রচার	Pracāra
উপদেশক	Upadēśaka
উপদেষ্টা	Upadēṣṭā
পরামর্শ	Parāmarśa
যুক্তিযুক্ত	Yuktiyukta
পরামর্শ	Parāmarśa
বিজ্ঞাপন	Bijñāpana
বিজ্ঞাপনদাতার	Bijñāpanadātāra
বিজ্ঞাপন	Bijñāpana
বিজ্ঞাপিত করা	Bijñāpita karā
বিদ্বেষ	Bidbēṣa
বিরূপ	Birūpa
প্রতিকূল	Pratikūla
বিপক্ষ	Bipakṣa
ক্রিয়া-বিশেষণিক	Kriẏā-biśēṣaṇika
বিশেষণের বিশেষণ	Biśēṣaṇēra biśēṣaṇa
দু: সাহসিক	Du: Sāhasika
দু: সাহসী	Du: Sāhasī
দু: সাহসিক কাজ	Du: Sāhasika kāja
আবির্ভাব	Ābirbhāba
খ্রীষ্টের আবির্ভাব	Khrīṣṭēra ābirbhāba
সুবিধাজনক	Subidhājanaka
সুবিধা	Subidhā
অগ্রগতি	Agragati
অগ্রসর	Agrasara
আগাম	Āgāma
ব্যভিচার	Byabhicāra
ভেজাল	Bhējāla
ব্যভিচারী	Byabhicārī
প্রাপ্তবয়স্ক	Prāptabaẏaska
তোষণ	Tōṣaṇa
নিপুণভাবে	Nipuṇabhābē
নিপুণ	Nipuṇa
ভাসিতে ভাসিতে	Bhāsitē bhāsitē
বৃক্করস	Br̥kkarasa
সজ্জা	Sajjā
বিভূষিত করা	Bibhūṣita karā
পূজা করা	Pūjā karā
অর্চনা	Arcanā
আরাধ্য	Ārādhya
অবলম্বিত	Abalambita
গ্রহণ	Grahaṇa
গৃহীত	Gr̥hīta
পোষ্যপুত্র গ্রহণ করা	Pōṣyaputra grahaṇa karā
কিশোর	Kiśōra
কৈশোর	Kaiśōra
রৌদ্রপক্ব ইষ্টক	Raudrapakba iṣṭaka
অনুযোগ	Anuyōga
সতর্ক করা	Satarka karā
স্বীকার করিয়া লইয়া	Sbīkāra kariẏā la'iẏā
প্রবেশাধিকার	Prabēśādhikāra
মানা	Mānā
ভর্তি	Bharti
গ্রহণীয়	Grahaṇīẏa
আহ্্	Āh
উপাসক	Upāsaka
প্রশংসক	Praśansaka
তারিফ করা	Tāripha karā
তারিফ	Tāripha
নৌসেনাপতি	Nausēnāpati
admirably	Admirably
ধন্য	Dhan'ya
প্রশাসক	Praśāsaka
প্রশাসনিক	Praśāsanika
প্রশাসন	Praśāsana
প্রতিপালন করা	Pratipālana karā
বিজ্ঞাপন- lib	Bijñāpana- lib
যথেচ্ছ	Yathēccha
সমন্বয়	Samanbaẏa
নিয়মিত	Niẏamita
সমন্বয় করা	Samanbaẏa karā
উপরি	Upari
ন্যায়নির্ণায়ক	N'yāẏanirṇāẏaka
ন্যায়নির্ণয় করা	N'yāẏanirṇaẏa karā
বিরতি	Birati
স্থগিত রাখা	Sthagita rākhā
সংলগ্ন	Sanlagna
সংলগ্ন করা	Sanlagna karā
বিশেষণ	Biśēṣaṇa
গুণবাচক	Guṇabācaka
সন্নিহিত	Sannihita
তদর্থক	Tadarthaka
আঠালো	Āṭhālō
আনুগত্য	Ānugatya
অনুগত	Anugata
আনুগত্য	Ānugatya
মেনে চলে	Mēnē calē
পর্যাপ্তরূপে	Paryāptarūpē
পর্যাপ্ত	Paryāpta
সাদৃশ্য	Sādr̥śya
adeptly	Adeptly
সুদক্ষ	Sudakṣa
ঠিকানা	Ṭhikānā
বিশেষ উদ্দেশ্যে সংযোজনের বস্তু	Biśēṣa uddēśyē sanyōjanēra bastu
অতিরিক্ত	Atirikta
অতিরিক্ত	Atirikta
সংযোজন	Sanyōjana
আসক্তি	Āsakti
অনুরতি	Anurati
আসক্ত	Āsakta
উপসেবক	Upasēbaka
যোগ	Yōga
এডাপটার	Ēḍāpaṭāra
অভিযোজন	Abhiyōjana
অভিযোজ্য	Abhiyōjya
মানিয়ে	Māniẏē
কণ্ঠা	Kaṇṭhā
কঠোরভাবে	Kaṭhōrabhābē
হীরক	Hīraka
প্রবচন	Prabacana
এ.ডি.	Ē.Ḍi.
বিজ্ঞাপন	Bijñāpana
কঠোরভাবে	Kaṭhōrabhābē
সূক্ষ্মকোণ	Sūkṣmakōṇa
তীব্র	Tībra
চিকিত্সা-পদ্ধতি বিশেষ	Cikitsā-pad'dhati biśēṣa
সূক্ষ্ম বুদ্ধি	Sūkṣma bud'dhi
প্রকৃতপক্ষে	Prakr̥tapakṣē
বাস্তবায়ন	Bāstabāẏana
বাস্তবতা	Bāstabatā
আসল	Āsala
অভিনেত্রী	Abhinētrī
অভিনেতা	Abhinētā
কার্যকলাপ	Kāryakalāpa
কর্মী	Karmī
অ্যাক্টিভিজম	Ayākṭibhijama
সক্রিয়	Sakriẏa
অ্যাক্টিভেশন	Ayākṭibhēśana
সক্রিয় করা	Sakriẏa karā
কর্ম	Karma
অভিনয়	Abhinaẏa
আইন	Ā'ina
আইন	Ā'ina
এক্রাইলিক	Ēkrā'ilika
জুড়ে দ্য বোর্ড	Juṛē dya bōrḍa
থেকে জুড়ে	Thēkē juṛē
আড়াআড়ি	Āṛā'āṛi
অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ	An'ya śabdēra ādyakṣara dbārā gaṭhita śabda
দড়াবাজি	Daṛābāji
মত পরিবর্তন করে এমন	Mata paribartana karē ēmana
মল্ল	Malla
মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা	Mējāja ācaraṇa bhāṣā prabhr̥tira rukṣatā
বদমেজাজি	Badamējāji
ঝাল	Jhāla
ভূসম্পত্তি	Bhūsampatti
বেকসুর খালাস	Bēkasura khālāsa
আজাদ করা	Ājāda karā
অর্জন	Arjana
অর্জন করা	Arjana karā
মৌনসন্মতি	Maunasanmati
সম্মত হত্তয়া	Sam'mata hattaẏā
পরিচিত	Paricita
জানাশোনা	Jānāśōnā
জ্ঞাপন করা	Jñāpana karā
শ্রবণশক্তি	Śrabaṇaśakti
শাব্দ	Śābda
ত্তক্ বৃক্ষের ফল	Ttak br̥kṣēra phala
ব্রণ	Braṇa
স্বীকৃতি	Sbīkr̥ti
স্বীকৃত	Sbīkr̥ta
স্বীকার করা	Sbīkāra karā
অ্যাসিড বৃষ্টি	Ayāsiḍa br̥ṣṭi
অম্লতা	Amlatā
আম্লিক	Āmlika
অ্যাসিড	Ayāsiḍa
Achy	Achy
অ্যাকিলিসের গোড়ালি	Ayākilisēra gōṛāli
Achiever	Achiever
কৃতিত্ব	Kr̥titba
অর্জন করা	Arjana karā
ব্যাথা	Byāthā
acerbic	Acerbic
টেক্কা	Ṭēkkā
অভ্যস্ত	Abhyasta
অভ্যস্ত করা	Abhyasta karā
অভিযোগের সুরে	Abhiyōgēra surē
accusing	Accusing
ফরিয়াদী	Phariẏādī
অভিযুক্ত	Abhiyukta
অভিযুক্ত করা	Abhiyukta karā
অভিযোগ	Abhiyōga
সঠিক	Saṭhika
সঠিক	Saṭhika
সঠিকতা	Saṭhikatā
আহরণ	Āharaṇa
স্তূপাকার করা	Stūpākāra karā
জমা	Jamā
নিসৃষ্ঠ	Nisr̥ṣṭha
স্বীকৃতি	Sbīkr̥ti
হিসাবরক্ষণ	Hisābarakṣaṇa
হিসাবরক্ষক	Hisābarakṣaka
দায়ী	Dāẏī
দায়িত্ব	Dāẏitba
হিসাব	Hisāba
সম্বোধন	Sambōdhana
বাদ্যযন্ত্রবিশেষ	Bādyayantrabiśēṣa
অনুযায়ী	Anuyāẏī
তদনুসারে	Tadanusārē
অনুযায়ী	Anuyāẏī
সঙ্গতি	Saṅgati
নিষ্পাদন	Niṣpādana
সম্পন্ন	Sampanna
সাধা	Sādhā
যোগদানকারী	Yōgadānakārī
সহগমন করা	Sahagamana karā
সঙ্গতবাদক	Saṅgatabādaka
সঙ্গত	Saṅgata
আবাসন	Ābāsana
বাসস্থান	Bāsasthāna
অমায়িক	Amāẏika
মিটমাট করা	Miṭamāṭa karā
প্রশংসা	Praśansā
আবহাত্তয়ায় অভ্যস্তকরণ	Ābahāttaẏāẏa abhyastakaraṇa
নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান	Nūtana jalabāẏu sahya karitē abhyasta karāna
প্রশংসিত	Praśansita
জয়ধ্বনি	Jaẏadhbani
দুর্ঘটনা - প্রবণ	Durghaṭanā - prabaṇa
ঘটনাক্রমে	Ghaṭanākramē
আপতিক	Āpatika
দুর্ঘটনা	Durghaṭanā
আনুষঙ্গিক	Ānuṣaṅgika
প্রবেশযোগ্য	Prabēśayōgya
অভিগম্যতা	Abhigamyatā
প্রবেশ	Prabēśa
গৃহীত	Gr̥hīta
স্বীকৃতি	Sbīkr̥ti
acceptably	Acceptably
গ্রহণযোগ্য	Grahaṇayōgya
গ্রাহ্যতা	Grāhyatā
স্বীকার করা	Sbīkāra karā
উচ্চারণ করা	Uccāraṇa karā
স্বরাঘাতযুক্ত	Sbarāghātayukta
স্বরাঘাত	Sbarāghāta
বেগবর্ধক ব্যক্তি	Bēgabardhaka byakti
ত্বরণ	Tbaraṇa
দ্রুততর করা	Drutatara karā
শিক্ষায়তন	Śikṣāẏatana
শিক্ষাগত দিক	Śikṣāgata dika
কেতাবি	Kētābi
এসি	Ēsi
রসাতল	Rasātala
অসম্ভব	Asambhaba
অতল	Atala
অবমাননাকর	Abamānanākara
অপব্যবহার	Apabyabahāra
প্রচুর পরিমাণে	Pracura parimāṇē
প্রচুর	Pracura
প্রাচুর্য	Prācurya
absurdly	Absurdly
অর্থহীনতা	Arthahīnatā
অযৌক্তিক	Ayauktika
বিমূর্তন	Bimūrtana
বিমূর্ত	Bimūrta
পরিহারক	Parihāraka
বিরতি	Birati
নিবৃত্তি	Nibr̥tti
বিরত থাকা	Birata thākā
শোষণ	Śōṣaṇa
বিশোষণ	Biśōṣaṇa
বিশোষক	Biśōṣaka
শোষিত	Śōṣita
নিবিষ্ট করা	Nibiṣṭa karā
মুক্তিদান করা	Muktidāna karā
একেবারে	Ēkēbārē
পরম	Parama
অন্যমনস্কতা	An'yamanaskatā
অনুপস্থিত- mindedly	Anupasthita- mindedly
গরহাজির	Garahājira
অন্যমনস্কভাবে	An'yamanaskabhābē
কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস	Karmakṣētrāditē anupasithata thākāra abhyāsa
অনুপস্থিত ব্যক্তি	Anupasthita byakti
অনুপস্থিত	Anupasthita
অনুপস্থিতি	Anupasthiti
পলান	Palāna
ফোড়া	Phōṛā
আকস্মিকতা	Ākasmikatā
হঠাৎ	Haṭhāṯ
আকস্মিক	Ākasmika
বিদেশে	Bidēśē
সীমাবদ্ধতা	Sīmābad'dhatā
সংক্ষেপ করা	Saṅkṣēpa karā
পাশাপাশি	Pāśāpāśi
abrasively	Abrasively
ঘষিয়া তুলিয়া ফেলিতে সক্ষম	Ghaṣiẏā tuliẏā phēlitē sakṣama
অকপট	Akapaṭa
উপরে	Uparē
ঘোরা	Ghōrā
প্রায়	Prāẏa
উড়া	Uṛā
ব্যর্থ	Byartha
গর্ভপাত	Garbhapāta
গর্ভপাত করান	Garbhapāta karāna
আদিবাসী	Ādibāsī
আদিবাসী	Ādibāsī
জঘন্য	Jaghan'ya
বিলোপ করেছে	Bilōpa karēchē
রদ	Rada
বাতিল করা	Bātila karā
জাহাজের উপরে	Jāhājēra uparē
অস্বাভাবিক	Asbābhābika
অস্বাভাবিকতা	Asbābhābikatā
অস্বাভাবিক	Asbābhābika
দক্ষতার সহিত	Dakṣatāra sahita
নীরোগ	Nīrōga
সক্ষম	Sakṣama
বহ্নিমান	Bahnimāna
শোচনীয়	Śōcanīẏa
ক্ষমতা	Kṣamatā
মানিয়া চলে এমন	Māniẏā calē ēmana
বরদাস্ত করা	Baradāsta karā
জঘন্য	Jaghan'ya
ন্যক্কার	N'yakkāra
ঘৃণাসহকারে পরিহার করা	Ghr̥ṇāsahakārē parihāra karā
ঢাকা দেত্তয়া	Ḍhākā dēttaẏā
স্খলন	Skhalana
অপহরণ	Apaharaṇa
অপহরণ করা	Apaharaṇa karā
পেটের	Pēṭēra
উদর	Udara
পদত্যাগ	Padatyāga
প্রত্যাখ্যান করা	Pratyākhyāna karā
এবিসি এর	Ēbisi ēra
অ আ ক খ	A ā ka kha
সংক্ষেপ	Saṅkṣēpa
সংক্ষিপ্ত করা	Saṅkṣipta karā
abbr .	Abbr.
মঠ	Maṭha
ক্ষীণ করা	Kṣīṇa karā
সলজ্জ	Salajja
বিসর্জন	Bisarjana
পরিত্যক্ত	Parityakta
বর্জিত করা	Barjita karā
গণনা-যন্ত্রবিশেষ	Gaṇanā-yantrabiśēṣa
পিছনে	Pichanē
উপপথ	Upapatha
বাইট	Bā'iṭa
bystander	Bystander
দ্বারা - পণ্য	Dbārā - paṇya
পার্শ্বপথ	Pārśbapatha
উপবিধি	Upabidhi
অতীত	Atīta
বিদায়	Bidāẏa
বিদায়	Bidāẏa
দ্বারা	Dbārā
buzzword	Buzzword
হর্ণ	Harṇa
বাজপাখি	Bājapākhi
গুঁজন	Gum̐jana
buyout	Buyout
ক্রেতা	Krētā
কেনা	Kēnā
গোলগাল	Gōlagāla
আলম্ব	Ālamba
বোতামের ঘর	Bōtāmēra ghara
বোতাম	Bōtāma
পাছা	Pāchā
Butterscotch	Butterscotch
ঘোল	Ghōla
প্রজাপতি	Prajāpati
butterfingers	Butterfingers
ঝুমকাজাতীয় স্বর্ণবর্ণ পুষ্পবিশেষ	Jhumakājātīẏa sbarṇabarṇa puṣpabiśēṣa
মাখন	Mākhana
Butte	Butte
গুঁতা	Gum̐tā
খানসামা	Khānasāmā
কসাইখানা	Kasā'ikhānā
কসাই	Kasā'i
কিন্তু	Kintu
busywork	Busywork
অনধিকারচর্চাকারী	Anadhikāracarcākārī
ব্যস্ত	Byasta
ছুটাছুটি	Chuṭāchuṭi
মক্কেল	Makkēla
বক্ষ	Bakṣa
বাস স্টপেজ	Bāsa sṭapēja
busing	Busing
ব্যবসাদার-নারী	Byabasādāra-nārī
ব্যবসায়ী	Byabasāẏī
কাষ্র্যকর	Kāṣryakara
বিজনেস কার্ড	Bijanēsa kārḍa
ব্যবসা প্রশাসন	Byabasā praśāsana
ব্যবসায়	Byabasāẏa
তত্পরতাসহকারে	Tatparatāsahakārē
জঙ্গলময়	Jaṅgalamaẏa
শুষ্ক দ্রব্যের পরিমাণবিশেষ	Śuṣka drabyēra parimāṇabiśēṣa
এখন ঘুমাচ্ছে	Ēkhana ghumācchē
গুল্ম	Gulma
busboy	Busboy
বাস	Bāsa
সমাহিত করা	Samāhita karā
বিস্ফোরণ	Bisphōraṇa
কোষাধ্যক্ষ	Kōṣādhyakṣa
গর্ত করা	Garta karā
ঢেকুর	Ḍhēkura
পোড়া	Pōṛā
চাকচিক্য	Cākacikya
জ্বলন্ত	Jbalanta
দহনকারী	Dahanakārī
দাহ করা	Dāha karā
মোটাসোটা	Mōṭāsōṭā
পাট-কাপড়	Pāṭa-kāpaṛa
সমাধি	Samādhi
সিঁধ কাটিয়া চুরি	Sim̐dha kāṭiẏā curi
সিঁধ কাটিয়া চুরি করা	Sim̐dha kāṭiẏā curi karā
চোরের বিপদাশঙ্কা	Cōrēra bipadāśaṅkā
সিঁধেল চোর	Sim̐dhēla cōra
Burger	Burger
আমলাতান্ত্রিক	Āmalātāntrika
আমলা	Āmalā
আমলাতন্ত্র	Āmalātantra
অফিস	Aphisa
বোঝা	Bōjhā
buoyantly	Buoyantly
প্রাণবন্ত	Prāṇabanta
প্লবতা	Plabatā
বয়া	Baẏā
পোঁদ	Pōm̐da
শশ	Śaśa
বাধা	Bādhā
পালান বিছানা	Pālāna bichānā
পালান	Pālāna
bunion	Bunion
কাঁচা লোক	Kām̐cā lōka
অকার্য	Akārya
বাঙ্গি জাম্পিং	Bāṅgi jāmpiṁ
কুঠী	Kuṭhī
পাঁজা	Pām̐jā
গুচ্ছ	Guccha
বান	Bāna
অসমান	Asamāna
বাম্পার স্টিকার	Bāmpāra sṭikāra
বাম্পার	Bāmpāra
আচমকা	Ācamakā
অকর্মা	Akarmā
আনাড়ি	Ānāṛi
Bumblebee	Bumblebee
পশ্চাদ্দেশ	Paścāddēśa
চমত্কার	Camatkāra
বাজে কথা	Bājē kathā
গবাক্ষ	Gabākṣa
বুলিশ	Buliśa
জরির ঝালর	Jarira jhālara
মানুষ ত্ত ষাঁড়ের লড়াই	Mānuṣa tta ṣām̐ṛēra laṛā'i
মানুষ ষাঁড়ের লড়াই করে	Mānuṣa ṣām̐ṛēra laṛā'i karē
মানুষ ত্ত ষাঁড়ের লড়াই	Mānuṣa tta ṣām̐ṛēra laṛā'i
বন্দুকের গুলিদ্বারা অভেদ্য	Bandukēra gulidbārā abhēdya
বুলেটিন বোর্ড	Bulēṭina bōrḍa
বুলেটিন	Bulēṭina
গুলি	Guli
ট্র্যাক্টর	Ṭryākṭara
ভয় দেখান	Bhaẏa dēkhāna
কুকুরবিশেষ	Kukurabiśēṣa
ষাঁড়	Ṣām̐ṛa
ভারী	Bhārī
বপু	Bapu
স্ফীত	Sphīta
স্ফীতি	Sphīti
কন্দজ	Kandaja
কন্দ	Kanda
বিল্ট -ইন	Bilṭa -ina
নির্মিত	Nirmita
buildup	Buildup
ভবন	Bhabana
রচয়িতা	Racaẏitā
নির্মাণ করা	Nirmāṇa karā
ভেঁপু	Bhēm̐pu
বগী	Bagī
বাগ	Bāga
ভাঁড়	Bhām̐ṛa
ঘুষা	Ghuṣā
বাফার	Bāphāra
মহিষ	Mahiṣa
মহিষচর্ম	Mahiṣacarma
বাজেট	Bājēṭa
নাড়া	Nāṛā
ভাইডি	Bhā'iḍi
স্ফুটনোন্মুখ	Sphuṭanōnmukha
বৌদ্ধ	Baud'dha
বৌদ্ধধর্ম	Baud'dhadharma
বুদ্ধ	Bud'dha
কুঁড়ি	Kum̐ṛi
bucktoothed	Bucktoothed
বক্ল	Bakla
বালতি	Bālati
হরিণ	Hariṇa
বুদ্বুদপূর্ণ	Budbudapūrṇa
বাবল গাম	Bābala gāma
বুদ্বুদ	Budbuda
B.S.	B.S.
BS	BS
পাশবিক	Pāśabika
নরপশু	Narapaśu
নৃশংসভাবে	Nr̥śansabhābē
বর্বর বা নিষ্ঠুর	Barbara bā niṣṭhura
নির্দয়তা	Nirdaẏatā
পাশবিক	Pāśabika
একপ্রকার খুদ্রে বাঁধাকপি	Ēkaprakāra khudrē bām̐dhākapi
অসভ্য	Asabhya
ব্রাশ বন্ধ	Brāśa bandha
ব্রাশ	Brāśa
ধকল	Dhakala
শ্যামাঙ্গিনী	Śyāmāṅginī
ব্রাঞ্চ	Brāñca
কালশিটে দাগ	Kālaśiṭē dāga
ব্রাউজার	Brā'ujāra
ব্রাউজ	Brā'uja
brownstone	Brownstone
কটা	Kaṭā
Brownies	Brownies
ক্ষুদ্রকায় সুশীলা পরীবিশেষ	Kṣudrakāẏa suśīlā parībiśēṣa
ক্ষুদ্রকায় সুশীলা পরীবিশেষ	Kṣudrakāẏa suśīlā parībiśēṣa
বাদামী	Bādāmī
চোখ রাঙ্গান	Cōkha rāṅgāna
ললাট	Lalāṭa
আনীত	Ānīta
ভাই - ইন আইন	Bhā'i - ina ā'ina
ভ্রাতৃভাবে	Bhrātr̥bhābē
ভাসুর	Bhāsura
ভ্রাতৃত্ব	Bhrātr̥tba
ভাই	Bhā'i
বেশ্যালয়	Bēśyālaẏa
ঝোল	Jhōla
ঝাঁটার হাতল	Jhām̐ṭāra hātala
ঝাড়ু	Jhāṛu
সহ্য করা	Sahya karā
সন্তানসন্ততি	Santānasantati
ব্রোচ	Brōca
ব্রোঞ্জ পদক	Brōñja padaka
ব্রোঞ্জ	Brōñja
বন্য ঘোড়াবিশেষ	Ban'ya ghōṛābiśēṣa
ব্রংকাইটিস	Braṅkā'iṭisa
দালালি	Dālāli
দালাল	Dālāla
ভগ্ন হৃদয়	Bhagna hr̥daẏa
ভাঙা - ডাউন	Bhāṅā - ḍā'una
ভাঙা	Bhāṅā
কপর্দকশূন্য	Kapardakaśūn'ya
প্রচণ্ড গরম দিন	Pracaṇḍa garama dina
বচসা	Bacasā
প্রাদেশিক উচ্চারণভঙ্গি	Prādēśika uccāraṇabhaṅgi
ক্ষুদ্র পুস্তিকা	Kṣudra pustikā
ব্রোকলি	Brōkali
রণপোতের একপার্শ্বস্থিত সমুদয় কামান	Raṇapōtēra ēkapārśbasthita samudaẏa kāmāna
উদারচেতা	Udāracētā
বিস্তৃতভাবে	Bistr̥tabhābē
বিস্তীর্ণ করা	Bistīrṇa karā
ঘোষক	Ghōṣaka
ব্রডকাস্ট	Braḍakāsṭa
প্রশস্ত	Praśasta
ছিদ্র করা	Chidra karā
ভঙ্গুর	Bhaṅgura
ব্রিটিশ	Briṭiśa
britches	Britches
ব্রিটেন	Briṭēna
কূর্চ	Kūrca
দ্রুত বেগে	Druta bēgē
প্রাণবন্ত	Prāṇabanta
লোনা	Lōnā
কিনারা	Kinārā
আনা	Ānā
সমুদ্র	Samudra
ধারি	Dhāri
বুদ্ধিদীপ্তভাবে	Bud'dhidīptabhābē
উজ্জ্বল	Ujjbala
প্রতিভা	Pratibhā
উজ্জ্বলতা	Ujjbalatā
উজ্জ্বলভাবে	Ujjbalabhābē
রাঙান	Rāṅāna
উজ্জ্বল	Ujjbala
সৈন্যদলবিশেষ	Sain'yadalabiśēṣa
জাঙ্গিয়া	Jāṅgiẏā
সংক্ষিপ্তভাবে	Saṅkṣiptabhābē
ব্রিফিং	Briphiṁ
ব্রিফকেস	Briphakēsa
সংক্ষিপ্ত	Saṅkṣipta
লাগাম	Lāgāma
সেতু	Sētu
নিতকনে	Nitakanē
বর	Bara
নববধূ	Nababadhū
দাম্পত্য	Dāmpatya
ইটভাটার	Iṭabhāṭāra
রাজমিস্ত্রি	Rājamistri
ইট	Iṭa
BRIC একটি ব্র্যাক	BRIC ēkaṭi bryāka
উত্কোচ গ্রহণ	Utkōca grahaṇa
ঘুষ	Ghuṣa
ভাঁটিখানা	Bhām̐ṭikhānā
শুঁড়ী	Śum̐ṛī
ফন্দি আঁটা	Phandi ām̐ṭā
সংক্ষিপ্ততা	Saṅkṣiptatā
গুরুভাই	Gurubhā'i
ঝরঝরে	Jharajharē
অনিল	Anila
প্রজনন স্থল	Prajanana sthala
প্রজনন	Prajanana
পালক	Pālaka
বংশবৃদ্ধি করা	Banśabr̥d'dhi karā
পুষ্ট	Puṣṭa
breathtakingly	Breathtakingly
উত্তেজনাপূর্ণ	Uttējanāpūrṇa
ঊর্ধ্বশ্বাসে	Ūrdhbaśbāsē
রূদ্ধশ্বাস	Rūd'dhaśbāsa
শ্বাসক্রিয়া	Śbāsakriẏā
সাময়িক বিশ্রাম	Sāmaẏika biśrāma
শ্বাস ফেলা	Śbāsa phēlā
দম	Dama
ব্রেস্টস্ট্রোক	Brēsṭasṭrōka
স্তন্যদুগ্ধ দ্বারা প্রতিপালন করা	Stan'yadugdha dbārā pratipālana karā
বুকের দুধ খাওয়ানো	Bukēra dudha khā'ōẏānō
স্তন	Stana
ঊর্মিবেগনিবারণার্থ বাঁধ	Ūrmibēganibāraṇārtha bām̐dha
ছুটি	Chuṭi
শত্রুবূহ্যভেদ	Śatrubūhyabhēda
বিপজ্জনক	Bipajjanaka
ব্রেকিং পয়েন্ট	Brēkiṁ paẏēnṭa
বিরতি -ইন	Birati -ina
ব্রেকফাস্ট	Brēkaphāsṭa
ভাঙ্গন	Bhāṅgana
ভঙ্গুর	Bhaṅgura
বিরতি	Birati
পরিবারের জীবিকার্জক	Paribārēra jībikārjaka
পানা	Pānā
breadbasket	Breadbasket
রুটি	Ruṭi
লঙ্ঘন	Laṅghana
তাম্রকার	Tāmrakāra
brazenly	Brazenly
নির্লজ্জ	Nirlajja
গাধার ডাক	Gādhāra ḍāka
পেশীবহুল	Pēśībahula
মাংসপেশী	Mānsapēśī
তোলপাড়	Tōlapāṛa
বলিহারি	Balihāri
সাহস	Sāhasa
সাহসপূর্বক	Sāhasapūrbaka
সাহসী	Sāhasī
বাহাদুরি	Bāhāduri
বাচ্চা	Bāccā
নির্লজ্জ	Nirlajja
পিতল Knuckles	Pitala Knuckles
কাঁচুলি	Kām̐culi
পিতল	Pitala
ঢেকুর	Ḍhēkura
ব্র্যান্ডি	Bryānḍi
আনকোরা	Ānakōrā
ব্র্যান্ড নাম	Bryānḍa nāma
ভাঁজা	Bhām̐jā
ব্র্যান্ড	Bryānḍa
শাখা	Śākhā
তুষ	Tuṣa
ব্রেক	Brēka
ভাপে সিদ্ধ করা	Bhāpē sid'dha karā
মাথাল	Māthāla
মগজ-ধোলাই	Magaja-dhōlā'i
মগজ-ধোলাই	Magaja-dhōlā'i
মানসিক বিপর্যয়জনিত আবেগাদির উচ্ছ্বাস	Mānasika biparyaẏajanita ābēgādira ucchbāsa
ঘিলু	Ghilu
নির্বোধ	Nirbōdha
উদ্ভাবন	Udbhābana
মস্তিষ্ক	Mastiṣka
অন্ধ ব্যক্তির লিখনাদির প্রণালী	Andha byaktira likhanādira praṇālī
বিনুনি	Binuni
দম্ভপূর্ণ	Dambhapūrṇa
জাঁক	Jām̐ka
ষৎ লোণা	Ṣaṯ lōṇā
বন্ধনী	Bandhanī
সম্বন্ধ	Sambandha
ধনুর্বন্ধনী	Dhanurbandhanī
ব্রেসলেট	Brēsalēṭa
যুগল	Yugala
ব্রা	Brā
Bozo	Bozo
বয় স্কাউট	Baẏa skā'uṭa
বয় স্কাউট	Baẏa skā'uṭa
