আন্তরিকভাবে	ntarikabhabe
আন্তর্জাতিক	ntarjatika
আন্তর্জাতিকভাবে	ntarjatikabhabe
আন্তর্মহাদেশীয়	ntarmahadeshiya
আন্ত্রিক	ntrika
রোগবিশেষ	rogabishesa
আন্দাজ	ndaja
আন্দাজি	ndaji
হিসেব	hiseba
আন্দাজের	ndajera
আন্দোলক	ndolaka
আন্দোলিত	ndolita
আন্নদ	nnada
আপতিক	patika
আপতিত	patita
আপত্কালীন	patkalina
কক্ষ	kaksa
আপত্তি	patti
আপত্তিকর	pattikara
আপত্তিকরভাবে	pattikarabhabe
আপত্তিকারী	pattikari
আপনাদের	panadera
আপনার	panara
আপনি	pani
আপনি	pani
আছেন	achena
আপনি	pani
করেছি	karechi
আপনি	pani
চাই	cai
আপনি	pani
পাবেন	pabena
আপসে	pase
আপাত	pata
আপাতদৃষ্টিতে	patadrsite
আপাতদৃষ্টিতে	patadrsite
প্রতীয়মান	pratiyamana
আপাতবিরোধী	patabirodhi
আপীল	pila
আপেক্ষিক	peksika
আপেক্ষিকতা	peksikata
আপেল	pela
আপেল	pela
সিডার	sidara
আপোষ	posa
আপ্ততা	ptata
আফটারশক	phaarashaka
আফটারশেভ	phaarashebha
লোশন	loshana
আফসোস	phasosa
আফিম	phima
আফ্রিকা	phrika
আফ্রিকান	phrikana
আফ্রিকান	phrikana
আমেরিকান	amerikana
আফ্রিকায়	phrikaya
শিকার	shikara
অভিযান	abhiyana
আবগারি	bagari
আবণ্টন	banana
আবদার	badara
আবদ্ধ	baddha
আবদ্ধ	baddha
করা	kara
আবর্জনা	barjana
আবর্জনা	barjana
মানুষ	manusa
আবর্ত	barta
চত্রূক	catruka
আবর্তন	bartana
আবলুস	balusa
আবশ্যকীয়	bashyakiya
আবহমানযন্ত্র	bahamanayantra
আবহমানসংক্রান্ত	bahamanasankranta
আবহাত্তয়ায়	bahattayaya
অভ্যস্তকরণ	abhyastakarana
আবাদ	bada
আবাদকারী	badakari
আবাদী	badi
আবাদী	badi
জমি	jami
আবার	bara
আবার	bara
আবাস	basa
আবাসন	basana
আবাসিক	basika
আবির্ভাব	birbhaba
আবিষ্কর্তা	biskarta
আবিষ্কার	biskara
আবিষ্কার	biskara
করা	kara
আবিষ্কারক	biskaraka
আবিষ্ট	bisa
আবৃত্তি	brtti
আবৃত্তি	brtti
করা	kara
আবৃত্তিশীল	brttishila
আবেগ	bega
আবেগপূর্ণ	begapurna
আবেগপূর্নভাবে	begapurnabhabe
আবেগপ্রবণ	begaprabana
আবেগপ্রবণতা	begaprabanata
আবেগের	begera
আবেদক	bedaka
আবেদন	bedana
আবেদন	bedana
করা	kara
আবেশ	besha
আবেশন	beshana
আবোলতাবোল	bolatabola
বকা	baka
আভা	bha
আভাকাডো	bhakado
আভাস	bhasa
আভিজাত্য	bhijatya
আভ্যন্তরীণ	bhyantarina
আমদানি	madani
আমদানিকারক	madanikaraka
আমন্ত্রণ	mantrana
আমন্ত্রণ	mantrana
করা	kara
আমন্ত্রণ	mantrana
জানিয়ে	janiye
আমবাত	mabata
আময়	maya
আমলা	mala
আমলাতন্ত্র	malatantra
আমলাতান্ত্রিক	malatantrika
আমাকে	make
ক্ষমা	ksama
করুন	karuna
আমাদিগের	madigera
আমাদের	madera
আমানত	manata
আমি	mi
আছি	achi
আমি	mi
আমি	mi
করেছি	karechi
আমি	mi
চাই	cai
আমির	mira
আমিরশাহী	mirashahi
আমুদে	mude
আমূল	mula
আমেরিকা	merika
আমেরিকান	merikana
ভারতীয়	bharatiya
আমেরিকান	merikana
স্বপ্ন	sbapna
আমেরিকানা	merikana
আমেরিকার	merikara
অদিম	adima
অধিবাসী	adhibasi
আমেরিকার	merikara
একজাতীয়	ekajatiya
বৃক্ষবাসী	brksabasi
স্তন্যপায়ী	stanyapayi
আমেরিকার	merikara
পত্রমুদ্রা	patramudra
আমেরিকার	merikara
লোক	loka
আমেরিকার	merikara
শক্ত	shakta
কাঠের	kahera
গাছবিশেষ	gachabishesa
আমোদ	moda
আমোদ	moda
পর্যালোচনা	paryalocana
আমোদিত	modita
আম্লিক	mlika
আয়	ya
আয়কর	yakara
আয়তক্ষেত্র	yataksetra
আয়তক্ষেত্রাকার	yataksetrakara
আয়তন	yatana
আয়তন	yatana
বহুলাংশে	bahulanshe
আয়তাকার	yatakara
আয়ত্ত	yatta
করা	kara
আয়ত্তে	yatte
আনা	ana
আয়রন	yarana
কার্টেন	karena
আয়হীন	yahina
আয়া	ya
আমোদপ্রমোদ	amodapramoda
চাহে	cahe
না	na
একবার	ekabara
আরবি	rabi
আরভি	rabhi
আরম্ভ	rambha
করা	kara
আরম্ভস্থল	rambhasthala
আরাধ্য	radhya
আরাব	raba
আরাম	rama
আরামকেদারা	ramakedara
আরামকেদারা	ramakedara
আরামপ্রদ	ramaprada
আরামের	ramera
আরোগ্য	rogya
আরোগ্য	rogya
করা	kara
আরোগ্যকর	rogyakara
আরোগ্যলাভ	rogyalabha
করা	kara
আরোপ	ropa
করা	kara
আরোহণ	rohana
করা	kara
আর্কাইভ	rkaibha
আর্টিচোক	ricoka
আর্থসামাজিক	rthasamajika
আর্থিক	rthika
আর্থিক	rthika
সংস্থান	sansthana
আর্থিকভাবে	rthikabhabe
আর্ধাসামরিক	rdhasamarika
আলকাতরা	lakatara
আলকাতরামেশান	lakatarameshana
নুড়ি	nuri
আলখিল্লা	lakhilla
আলগা	laga
দাঁতগুলো	damtagulo
আলগোছে	lagoche
আলঙ্কারিক	lankarika
আলতারাপ	latarapa
আলম্ব	lamba
আলস্য	lasya
আলস্যে	lasye
কাটান	kaana
আলাদা	lada
আলাদা	lada
করিয়া	kariya
রাখা	rakha
আলাদাভাবে	ladabhabe
আলান	lana
আলাপ	lapa
আলাপালোচনকারী	lapalocanakari
আলাপালোচনা	lapalocana
আলাপী	lapi
আলি	li
আলিঙ্গন	lingana
আলু	lu
আলু	lu
চিপ	cipa
আলুবোখারা	lubokhara
আলুর	lura
ভরতা	bharata
আলোকচিত্র	lokacitra
আলোকচিত্রগ্রহণকারী	lokacitragrahanakari
আলোকচ্ছটা	lokacchaa
আলোকরশ্মি	lokarashmi
আলোকিত	lokita
আলোচনা	locana
আলোচনা	locana
করা	kara
আলোড়ন	lorana
আল্লাহ	llaha
আশঙ্কা	shanka
আশঙ্কাজনকভাবে	shankajanakabhabe
আশপাশ	shapasha
আশা	sha
আশা	sha
করা	kara
আশানুরূপ	shanurupa
আশাপূর্ণ	shapurna
আশাপ্রদ	shaprada
আশাপ্রদতা	shapradata
আশাবাদ	shabada
আশাবাদী	shabadi
আশাহীন	shahina
আশাহীনতা	shahinata
আশি	shi
আশীর্বচন	shirbacana
আশীর্বাদ	shirbada
করা	kara
আশু	shu
আশুরচনা	shuracana
করা	kara
আশ্চর্য	shcarya
আশ্চর্যজনক	shcaryajanaka
আশ্বস্ত	shbasta
আশ্রয়	shraya
আশ্রয়কোটর	shrayakoara
আশ্রয়স্থল	shrayasthala
আশ্রিত	shrita
আশ্রিত	shrita
ব্যক্তি	byakti
আশ্লেষে	shlese
জড়ানো	jarano
আসক্ত	sakta
আসক্তি	sakti
আসঙ্গ	sanga
আসনবিন্যাস	sanabinyasa
আসন্ন	sanna
আসবপান	sabapana
সংপূর্ণরুপে	sampurnarupe
পরিহারকারী	pariharakari
আসবাবপত্র	sababapatra
আসমান	samana
আসাদন	sadana
আসীন	sina
আসেন	sena
আস্তানা	stana
আস্তানায়	stanaya
আস্তিন	stina
আস্তৃত	strta
করা	kara
আস্তে	ste
আস্থা	stha
আস্থাবান্	sthaban
আস্থাহীন	sthahina
করা	kara
করা	kara
আহার	hara
আহার্য	harya
সামগ্রী	samagri
আহ্বান	hbana
করা	kara
আহ্বানকারী	hbanakari
আহ্লাদ	hlada
আহ্লাদিত	hladita
আহ্লাদিত	hladita
করা	kara
আহ্্	h
মেইল	meila
ইঁচড়ে	imcare
পাকা	paka
ইঁদুর	imdura
ইংরেজি	inreji
কিপ্পুর	kippura
ইউরোপ	iuropa
ইউরোপীয়	iuropiya
ইকুইটি	ikuii
ইঙ্গিত	ingita
ইঙ্গিতপূর্ণ	ingitapurna
ইচ্ছা	iccha
ইচ্ছাকৃত	icchakrta
ইচ্ছাকৃত	icchakrta
ভাবে	bhabe
ইচ্ছাকৃতভাবে	icchakrtabhabe
ইচ্ছাপূর্বক	icchapurbaka
ইচ্ছামত	icchamata
গুন্	gun
গুন্	gun
ইঞ্চি	inci
ইঞ্জিন	injina
ইটভাটার	iabhaara
ইটালিয়ান	ialiyana
ইডীশ্	idish
জনসাধারণ	janasadharana
ফুটন্ত	phuanta
অবস্থা	abastha
লোক	loka
স্ত্রীলোক	striloka
ইতররতিপ্রবণ	itararatiprabana
ইতস্তত	itastata
ইতিমধ্যে	itimadhye
ইতিহাস	itihasa
ইতিহাসবেত্তা	itihasabetta
গভীরতার	gabhiratara
ফ্লাইট	phlaia
লাইন	laina
স্কেইট্	skei
ইনকামিং	inakaming
ইনজেকশন	inajekashana
ইনটেনসিভ	inaenasibha
কেয়ার	keyara
ইনপুট	inapua
ইনভেস্টিগেটিভ	inabhesigeibha
ইনস্টল	inasala
ইনস্টলেশন	inasaleshana
ইনস্ট্যান্ট	inasyana
ইনুইট	inuia
ইন্টারনেট	inaranea
ইন্টারফেস	inaraphesa
ইন্টারেক্টিভ	inarekibha
ইন্টার্নশীপ	inarnashipa
ইন্টিগ্রেশন	inigreshana
ইন্টেরোগেটর	inerogeara
ইন্দ্রজাল	indrajala
ইন্দ্রি়গত	indrigata
ইন্দ্রি়পরায়ণতাপূর্ণ	indriparayanatapurna
ইন্ধন	indhana
ইন্ধন	indhana
জোগান	jogana
ইন্ফলুএন্জারোগ	inphaluenjaroga
ইন্সুলিন	insulina
ইমারত	imarata
ইমার্জেন্সি	imarjensi
ব্রেক	breka
ইমিউন	imiuna
সিস্টেম	sisema
ইম্প্রেশনিস্টিক	impreshanisika
ইয়ট	iyaa
ইয়াপ	iyapa
ইয়েন	iyena
ইয়েলো	iyelo
পেজ	peja
ইয়োইয়ো	iyoiyo
ইলেকট্রনিক	ilekaranika
মেইল	meila
ইলেকট্রনিক্স	ilekaraniksa
ইলেক্ট্রন	ilekrana
ইশারা	ishara
ইশারা	ishara
করা	kara
ইসলাম	isalama
ইসলামী	isalami
ইস্টার	isara
ডিম	dima
ইস্ট্রজেন	israjena
ইস্পাত	ispata
ইস্পাত	ispata
ইহার	ihara
সঙ্গে	sange
ইহুদি	ihudi
ইহুদি	ihudi
আইনজ্ঞ	ainajna
ইহুদিতুল্য	ihuditulya
ইহুদিবিদ্বেষ	ihudibidbesa
ইহুদীদের	ihudidera
ধর্মীয়	dharmiya
আইনের	ainera
গ্র্রন্থ	grrantha
ইহুদীধর্মমত	ihudidharmamata
উঁকি	umki
উঁচু	umcu
সরু	saru
গাছবিশেষ	gachabishesa
উঁচু	umcu
রেশমী	reshami
টুপি	upi
উঁচ্ছবৃত্তি	umcchabrtti
উঁচ্ছবৃত্তি	umcchabrtti
করা	kara
উঃপঃ	uhpah
উইঢিবি	uidhibi
উকিল	ukila
উক্তি	ukti
উগ্র	ugra
উগ্রস্বভাব	ugrasbabhaba
উগ্রস্বভাব	ugrasbabhaba
ব্যক্তি	byakti
উচিত	ucita
উচিত	ucita
না	na
উচ্চ	ucca
উচ্চ	ucca
চাপ	capa
উচ্চ	ucca
ক্ষমতাপ্রাপ্ত	ksamataprapta
উচ্চ	ucca
গ্রেড	greda
উচ্চ	ucca
চেয়ার	ceyara
উচ্চ	ucca
ত্ত	tta
তীক্ষ্ন	tiksna
স্বরবিশিষ্ট	sbarabishisa
উচ্চ	ucca
প্রফাইল	praphaila
উচ্চ	ucca
প্রযুক্তির	prayuktira
উচ্চ	ucca
বিদ্যালয়	bidyalaya
উচ্চ	ucca
বৃদ্ধি	brddhi
উচ্চ	ucca
বেলন	belana
উচ্চ	ucca
লাফ	lapha
উচ্চ	ucca
শব্দ	shabda
উচ্চ	ucca
শিক্ষা	shiksa
উচ্চ	ucca
স্ফূর্তি	sphurti
উচ্চকণ্ঠে	uccakanhe
ঝগড়া	jhagara
করা	kara
উচ্চতর	uccatara
উচ্চতা	uccata
উচ্চনাদ	uccanada
উচ্চপর্ষায়সম্বন্ধীয়	uccaparsayasambandhiya
উচ্চপ্রশংসা	uccaprashansa
করা	kara
উচ্চবংশে	uccabanshe
উচ্চমূল্য	uccamulya
উচ্চশ্রেণীত্তয়ালা	uccashrenittayala
উচ্চস্তরের	uccastarera
উচ্চাকাঙ্ক্ষা	uccakanksa
উচ্চাকাঙ্ক্ষী	uccakanksi
উচ্চাভিলাষী	uccabhilasi
উচ্চাভিলাষী	uccabhilasi
হত্তয়া	hattaya
উচ্চারণ	uccarana
উচ্চারণ	uccarana
করা	kara
উচ্চারণানুযায়ী	uccarananuyayi
উচ্চারিত	uccarita
উচ্চাসন	uccasana
উচ্চৈ	uccai
স্বরে	sbare
উচ্ছিন্ন	ucchinna
করা	kara
উচ্ছৃঙ্খল	ucchrnkhala
উচ্ছেদ	uccheda
উচ্ছেদ	uccheda
করা	kara
উচ্ছ্বসিত	ucchbasita
উচ্ছ্বাসিত	ucchbasita
উজ্জীবন	ujjibana
উজ্জ্বল	ujjbala
উজ্জ্বলতা	ujjbalata
উজ্জ্বলবর্ণ	ujjbalabarna
উজ্জ্বলভাবে	ujjbalabhabe
উটকো	uako
উটপাখী	uapakhi
উঠতি	uhati
উঠতে	uhate
পেরেছিলেন	perechilena
উঠা	uha
উঠে	uhe
ব্যক্তি	byakti
উড়ন্ত	uranta
উড়ন্ত	uranta
ডিশ্	dish
উড়া	ura
উড়া	ura
উড়া	ura
উড়িয়ে	uriye
উড্ডয়ন	uddayana
উড্ডীন	uddina
করা	kara
উতরাই	utarai
উত্কট	utkaa
উত্কর্ষের	utkarsera
আদর্শ	adarsha
উত্কোচ	utkoca
গ্রহণ	grahana
উত্তপ্ত	uttapta
উত্তপ্ত	uttapta
করা	kara
উত্তম	uttama
উত্তম	uttama
পানভোজনসংক্রান্ত	panabhojanasankranta
উত্তর	uttara
উত্তর	uttara
আমেরিকা	amerika
উত্তর	uttara
আমেরিকার	amerikara
উত্তর	uttara
দিতে	dite
উত্তর	uttara
মেরু	meru
সঙক্রান্ত	sanakranta
উত্তর	uttara
মেশিন	meshina
উত্তরপূর্ব	uttarapurba
উত্তরণ	uttarana
উত্তরদিকের	uttaradikera
শেষ	shesa
সীমায়	simaya
অবস্থিত	abasthita
উত্তরদিক্	uttaradik
উত্তরদিক্গামী	uttaradikgami
উত্তরপশ্চিমগত	uttarapashcimagata
উত্তরপশ্চিমস্থ	uttarapashcimastha
উত্তরপূর্বকোণ	uttarapurbakona
উত্তরাঁচলবাসী	uttaramcalabasi
উত্তরাধিকার	uttaradhikara
উত্তরাধিকার	uttaradhikara
থেকে	theke
বঞ্চিত	bancita
উত্তরাধিকারী	uttaradhikari
উত্তরী	uttari
উত্তরীয়	uttariya
উত্তরে	uttare
বলা	bala
উত্তাল	uttala
তরঙ্গ	taranga
উত্তুরে	utture
উত্তেজক	uttejaka
উত্তেজন	uttejana
উত্তেজনক্ষম	uttejanaksama
উত্তেজনা	uttejana
উত্তেজনাপূর্ণ	uttejanapurna
উত্ত্যক্ত	uttyakta
উত্ত্যক্ত	uttyakta
করা	kara
উত্ত্যক্তকারীর	uttyaktakarira
উত্থান	utthana
উত্থানশীল	utthanashila
উত্থাপন	utthapana
করা	kara
উত্পন্ন	utpanna
করা	kara
উত্পন্ন	utpanna
দ্রব্যাদির	drabyadira
আন্তর্জাতিক	antarjatika
প্রদর্শনী	pradarshani
উত্পাটন	utpaana
উত্পাদ	utpada
উত্পাদক	utpadaka
উত্পাদন	utpadana
করা	kara
উত্পাদনক্ষম	utpadanaksama
উত্পাদনশীলতা	utpadanashilata
উত্পীড়নকর	utpiranakara
উত্ফুল্লভাবে	utphullabhabe
উত্স	utsa
উত্সব	utsaba
উত্সব	utsaba
করা	kara
উত্সবকারীগণ	utsabakarigana
উত্সবের	utsabera
উত্সর্গীকৃত	utsargikrta
উত্সর্জন	utsarjana
উত্সারিত	utsarita
করা	kara
উত্সাহ	utsaha
উত্সাহ	utsaha
দেত্তয়া	dettaya
উত্সাহিত	utsahita
করা	kara
উত্সাহী	utsahi
উত্সাহে	utsahe
উত্সাহের	utsahera
উত্সেচক	utsecaka
উদয়	udaya
উদাত্ত	udatta
সুর	sura
উদার	udara
উদারচেতা	udaraceta
উদারতা	udarata
উদারভাবে	udarabhabe
উদারহৃদয়	udarahrdaya
উদাস	udasa
উদাসী	udasi
উদাসীন	udasina
উদাহরণ	udaharana
উদাহরণ	udaharana
দ্বারা	dbara
ব্যাখ্যা	byakhya
করা	kara
উদাহরণস্বরূপ	udaharanasbarupa
উদিত	udita
উদীয়মান	udiyamana
উদো	udo
ফাঁদ	phamda
উদ্গত	udgata
উদ্গাতা	udgata
উদ্গিরণ	udgirana
উদ্ঘাটন	udghaana
উদ্দীপক	uddipaka
উদ্দীপক	uddipaka
বস্তু	bastu
উদ্দীপনা	uddipana
উদ্দীপনার	uddipanara
উদ্দীপ্ত	uddipta
করা	kara
উদ্দেশ্য	uddeshya
উদ্দেশ্যহীন	uddeshyahina
উদ্দেশ্যহীনভাবে	uddeshyahinabhabe
উদ্ধত	uddhata
উদ্ধতভাবে	uddhatabhabe
উদ্ধরণ	uddharana
চিহ্ন	cihna
উদ্ধার	uddhara
উদ্ধৃতাংশ	uddhrtansha
উদ্ধৃতি	uddhrti
উদ্বর্তন	udbartana
উদ্বায়ী	udbayi
উদ্বায়ু	udbayu
উদ্বাসন	udbasana
উদ্বাস্তু	udbastu
উদ্বিগ্ন	udbigna
উদ্বুদ্ধ	udbuddha
করা	kara
উদ্বৃত্ত	udbrtta
উদ্বেগ	udbega
উদ্বোধন	udbodhana
উদ্বোধন	udbodhana
করা	kara
উদ্বোধনী	udbodhani
উদ্ভট	udbhaa
উদ্ভট	udbhaa
কল্পনা	kalpana
উদ্ভাবক	udbhabaka
উদ্ভাবন	udbhabana
উদ্ভাবন	udbhabana
করা	kara
উদ্ভাবনী	udbhabani
উদ্ভাস	udbhasa
উদ্ভাসক	udbhasaka
উদ্ভাসিত	udbhasita
উদ্ভিজ্জ	udbhijja
উদ্ভিদ	udbhida
উদ্ভিদকুল	udbhidakula
উদ্ভিদ্তাত্বিক	udbhidtatbika
উদ্ভিদ্বিদ্যা	udbhidbidya
উদ্ভিদ্বিদ্যাসংক্রান্ত	udbhidbidyasankranta
উদ্ভূত	udbhuta
উদ্যতি	udyati
উদ্যম	udyama
উদ্যম	udyama
করা	kara
উদ্যমী	udyami
উদ্যমী	udyami
করান	karana
উদ্যান	udyana
উদ্যানপালন	udyanapalana
উদ্যানপালনসংক্রান্ত	udyanapalanasankranta
উদ্যানবাটি	udyanabai
উদ্যোক্তা	udyokta
উদ্যোগ	udyoga
উদ্যোগী	udyogi
উদ্যোগী	udyogi
লোক	loka
উনবিংশতিতম	unabinshatitama
উনান	unana
উনিশ	unisha
উন্নত	unnata
উন্নত	unnata
করা	kara
উন্নতচরিত্র	unnatacaritra
উন্নতি	unnati
উন্নতিলাভ	unnatilabha
করা	kara
উন্নয়ন	unnayana
উন্নয়নশীল	unnayanashila
উন্নিদ্রা	unnidra
উন্নীত	unnita
করা	kara
উন্মত্ত	unmatta
উন্মত্ত	unmatta
হয়ে	haye
জয়	jaya
উন্মত্ততা	unmattata
উন্মত্তবৎ	unmattabat
উন্মনা	unmana
উন্মাদ	unmada
উন্মাদনা	unmadana
উন্মার্গগামী	unmargagami
উন্মুক্ত	unmukta
স্থানে	sthane
উন্মুক্তভাবে	unmuktabhabe
উন্মুলয়িতা	unmulayita
উন্মূলন	unmulana
উপকার	upakara
উপকারিতা	upakarita
উপকারী	upakari
উপকেন্দ্র	upakendra
উপক্রম	upakrama
উপগ্রহ	upagraha
উপচয়	upacaya
উপজাতি	upajati
উপজাতীয়	upajatiya
উপড়াইয়া	uparaiya
ফেলা	phela
উপত্যকা	upatyaka
উপদংশ	upadansha
উপদর্শক	upadarshaka
উপদেশক	upadeshaka
উপদেষ্টা	upadesa
উপদ্বীপ	upadbipa
উপদ্রব	upadraba
উপধূপন	upadhupana
উপনদী	upanadi
উপনাম	upanama
উপনিবেশ	upanibesha
উপন্যাস	upanyasa
উপপত্রিক	upapatrika
উপপাদন	upapadana
উপবিধি	upabidhi
উপবৃত্তাকার	upabrttakara
উপবৃদ্ধি	upabrddhi
উপবেশয়িতা	upabeshayita
উপভাষা	upabhasa
উপভোগ্য	upabhogya
উপমা	upama
উপযাচক	upayacaka
উপযুক্ত	upayukta
উপযুক্তভাবে	upayuktabhabe
উপরি	upari
উপরিকাঠামো	uparikahamo
উপরিগত	uparigata
হত্তয়া	hattaya
উপরে	upare
উপরে	upare
জড়ান	jarana
উপরের	uparera
খাঁজ	khamja
উপরের	uparera
গোপন	gopana
উপলক্ষ	upalaksa
উপলব্ধ	upalabdha
উপলব্ধি	upalabdhi
উপলব্ধি	upalabdhi
করা	kara
উপলব্ধিজনক	upalabdhijanaka
করা	kara
উপশুল্ক	upashulka
উপসংহার	upasanhara
উপসমিতি	upasamiti
উপসর্গ	upasarga
উপসাগর	upasagara
উপসেবক	upasebaka
উপস্থ	upastha
উপস্থাপনকারী	upasthapanakari
উপস্থাপনযোগ্য	upasthapanayogya
উপস্থাপনা	upasthapana
উপস্থিত	upasthita
উপস্থিত	upasthita
থাকা	thaka
উপস্থিতমত	upasthitamata
উপস্থিতি	upasthiti
উপস্বন	upasbana
উপহার	upahara
উপহার	upahara
সার্টিফিকেট	sariphikea
উপহাস	upahasa
উপহাসের	upahasera
পাত্র	patra
উপাখ্যান	upakhyana
উপাঙ্গ	upanga
উপাত্ত	upatta
উপাদান	upadana
উপাদেয়	upadeya
উপাধি	upadhi
উপাধ্যায়	upadhyaya
উপানৎ	upanat
উপায়	upaya
নিয়ে	niye
ডান	dana
উপার্জন	uparjana
উপার্জন	uparjana
করা	kara
উপাসক	upasaka
উপাসনার	upasanara
স্থান	sthana
উপুড়	upura
উপেক্ষা	upeksa
উপেক্ষা	upeksa
করা	kara
উপেক্ষাপূর্ণ	upeksapurna
উপেক্ষিত	upeksita
উপ্ত	upta
উবা	uba
উভয়	ubhaya
উভয়সঙ্কট	ubhayasankaa
উভলিঙ্গ	ubhalinga
উমরা	umara
উমান	umana
উর্বর	urbara
উর্বর	urbara
করা	kara
উর্বর	urbara
মস্তিষ্ক	mastiska
উর্বরতা	urbarata
উর্বরা	urbara
করা	kara
উলকি	ulaki
উলটাকর	ulaakara
উলটান	ulaana
উলটাপালটা	ulaapalaa
উল্কা	ulka
উল্টানো	ulano
ধড়ফড়	dharaphara
উল্টানো	ulano
পার্শ্ব	parshba
উল্লঙ্ঘন	ullanghana
উল্লম্ফন	ullamphana
উল্লম্ব	ullamba
উল্লম্বভাবে	ullambabhabe
উল্লসিত	ullasita
উল্লাস	ullasa
উল্লাস	ullasa
প্রদর্শন	pradarshana
করা	kara
উল্লাসজনক	ullasajanaka
উল্লাসধ্বনি	ullasadhbani
উল্লাসপূর্ণ	ullasapurna
উল্লাসের	ullasera
উল্লুক	ulluka
উল্লেখ	ullekha
উল্লেখ	ullekha
করা	kara
উল্লেখযোগ্যভাবে	ullekhayogyabhabe
উষ্ণ	usna
উষ্ণপ্রস্রবণ	usnaprasrabana
উষ্ণবীর্য	usnabirya
উসকানি	usakani
উসখুস	usakhusa
করা	kara
উসুল	usula
করা	kara
উহার	uhara
উহু	uhu
উৎকোচ	utkoca
উৎপাদন	utpadana
উৎসর্গ	utsarga
উৎসাহব্যঞ্জক	utsahabyanjaka
উৎসাহের	utsahera
ঊর্ধ্বগামী	urdhbagami
ঊর্ধ্বশ্বাসে	urdhbashbase
ঊর্ধ্বে	urdhbe
মুদ্রা	mudra
নিক্ষেপ	niksepa
ঊর্মিবেগনিবারণার্থ	urmibeganibaranartha
বাঁধ	bamdha
ঊষরতা	usarata
ঋজু	rju
ঋণগ্রস্ত	rnagrasta
থাকা	thaka
ঋণপত্র	rnapatra
ঋণী	rni
ঋতু	rtu
ঋতু	rtu
টিকেট	ikea
ঋত্বিক	rtbika
ঋদ্ধ	rddha
ঋষি	rsi
এডি	edi
এঁেটল	emeala
আস্তানায়	astanaya
বোমা	boma
এইচআইভি	eicaaibhi
এইভাবে	eibhabe
এইসা	eisa
ট্র্যাক	ryaka
রাতে	rate
স্ট্যান্ড	syanda
চুমুক	cumuka
টু	u
পায়ে	paye
খাড়া	khara
বয়সী	bayasi
বাক্যাংশের	bakyanshera
বর্ণসমূহের	barnasamuhera
স্থানপরিবর্তনদ্বারা	sthanaparibartanadbara
ভিন্ন	bhinna
শব্দ	shabda
ঘরে	ghare
বাসিন্দা	basinda
জোয়ালে	joyale
আবদ্ধ	abaddha
পশুর	pashura
চালক	calaka
দলের	dalera
খেলোয়াড়	kheloyara
একইভাবে	ekaibhabe
সেক্স	seksa
অঙ্ক	anka
পরিবার	paribara
পিতা	pita
বা	ba
মাতা	mata
প্রয়াস	prayasa
স্বচ্ছন্দভাবে	sbacchandabhabe
এককালে	ekakale
একখণ্ড	ekakhanda
কালিশোষক	kalishosaka
কাগজ	kagaja
একগুঁয়ে	ekagumye
একঘেয়ে	ekagheye
সুরে	sure
আবৃত্ত	abrtta
একঘেয়েমি	ekagheyemi
একচেটিয়া	ekaceiya
একটানা	ekaana
উড়ানের	uranera
একটি	ekai
একটি	ekai
খাদ্যতালিকা	khadyatalika
অনুযায়ী	anuyayi
একটি	ekai
লা	la
মোড	moda
একটিবারের	ekaibarera
একতরফা	ekatarapha
একতলা	ekatala
একতান	ekatana
করান	karana
একদা	ekada
একদিকে	ekadike
ফেরা	phera
একদৃষ্টি	ekadrsi
একদৃষ্টিতে	ekadrsite
তাকান	takana
একধরণের	ekadharanera
ধাঁধার	dhamdhara
একনায়ক	ekanayaka
একনায়কতন্ত্র	ekanayakatantra
একপাশে	ekapashe
একপ্রকার	ekaprakara
খুদ্রে	khudre
বাঁধাকপি	bamdhakapi
একপ্রকার	ekaprakara
গায়ক	gayaka
পক্ষী	paksi
একফোঁটা	ekaphoma
একবার	ekabara
একবার	ekabara
ওভার	obhara
একবোরে	ekabore
একভাবে	ekabhabe
একমনা	ekamana
একমাত্র	ekamatra
একমাত্র	ekamatra
সন্তান	santana
একমুখ	ekamukha
ঢাকা	dhaka
কাচের	kacera
একমুখো	ekamukho
একযোগে	ekayoge
একরোখা	ekarokha
একসঙ্গে	ekasange
একহাঁটু	ekahamu
একা	eka
একাকী	ekaki
একাদশ	ekadasha
একান্তর	ekantara
একুশ	ekusha
একে	eke
সম্মানে	sammane
একেবারে	ekebare
একেবারে	ekebare
পুরোভাগ	purobhaga
একেলা	ekela
এক্তিয়ার	ektiyara
এক্তিয়ারভুক্ত	ektiyarabhukta
এক্রাইলিক	ekrailika
এক্স	eksa
রে	re
এক্স	eksa
রেট	rea
এক্সট্রা	eksara
লার্জ	larja
এক্সস্ট	eksasa
এক্সিলেটর	eksileara
ঘুমাচ্ছে	ghumacche
এখনো	ekhano
এখানে	ekhane
এখানে	ekhane
ইস্ট	isa
এখানে	ekhane
কোথাত্ত	kothatta
এগার	egara
এগিয়ে	egiye
এগিয়ে	egiye
যান	yana
এছাড়াও	echarao
এজমা	ejama
এজেন্সি	ejensi
এটা	ea
এটা	ea
এটা	ea
চাই	cai
এটিএম	eiema
এড়াইয়া	eraiya
চলা	cala
এড়াতে	erate
এড়ানর	eranara
কৌশল	kaushala
এডাপটার	edapaara
এতদ্দ্বারা	etaddbara
বি	bi
এনজিনের	enajinera
পার	para
এনজির্নহীন	enajirnahina
বিমান	bimana
এনটাইটেলমেন্টের	enaaielamenera
